Country.Name,2013,2014,2015,2016
Afghanistan,21.1 [17.2-25.4],21.7 [17.7-26.2],22.3 [18.1-27.0],23.0 [18.5-27.8]
Albania,55.5 [51.2-59.8],56.3 [51.8-60.7],57.0 [52.2-61.6],57.7 [52.7-62.5]
Algeria,59.8 [55.7-63.8],60.5 [56.3-64.7],61.3 [56.9-65.7],62.0 [57.4-66.6]
Andorra,63.1 [58.7-67.1],63.3 [58.8-67.5],63.5 [58.7-67.9],63.7 [58.7-68.3]
Angola,25.5 [20.7-30.6],26.2 [21.2-31.5],26.8 [21.7-32.4],27.5 [22.1-33.3]
Antigua and Barbuda,46.3 [41.0-51.7],46.9 [41.4-52.5],47.4 [41.8-53.2],48.0 [42.1-54.0]
Argentina,61.2 [57.2-65.2],61.8 [57.5-65.9],62.3 [57.8-66.6],62.7 [58.1-67.2]
Armenia,52.8 [48.3-57.3],53.4 [48.7-57.9],53.9 [49.0-58.5],54.4 [49.4-59.2]
Australia,63.1 [60.0-66.2],63.6 [60.3-66.8],64.0 [60.6-67.4],64.5 [60.9-68.0]
Austria,53.0 [49.1-56.8],53.4 [49.2-57.4],53.9 [49.5-58.0],54.3 [49.6-58.6]
Azerbaijan,51.6 [46.7-56.3],52.2 [47.1-57.1],52.9 [47.7-57.9],53.6 [48.1-58.8]
Bahamas,62.8 [58.1-67.5],63.3 [58.5-68.1],63.9 [58.8-68.8],64.4 [59.1-69.4]
Bahrain,64.1 [59.9-68.2],64.7 [60.3-68.9],65.2 [60.6-69.7],65.8 [61.0-70.4]
Bangladesh,18.2 [15.2-21.3],18.8 [15.6-22.1],19.4 [16.1-23.0],20.0 [16.5-23.9]
Barbados,50.5 [45.7-55.4],51.1 [46.1-56.2],51.8 [46.5-57.1],52.4 [46.9-58.0]
Belarus,58.1 [53.5-62.6],58.6 [53.8-63.2],59.0 [54.0-63.8],59.4 [54.3-64.4]
Belgium,58.6 [55.3-61.9],58.9 [55.4-62.3],59.2 [55.4-62.8],59.5 [55.5-63.3]
Belize,53.0 [48.2-57.8],53.6 [48.6-58.6],54.2 [49.0-59.4],54.8 [49.4-60.2]
Benin,27.8 [24.2-31.6],28.4 [24.6-32.3],28.9 [25.0-33.1],29.5 [25.3-33.9]
Bhutan,24.9 [20.9-29.3],25.6 [21.5-30.2],26.4 [22.0-31.2],27.1 [22.6-32.1]
Bolivia (Plurinational State of),54.3 [49.4-59.1],54.9 [49.9-59.9],55.5 [50.3-60.7],56.1 [50.7-61.5]
Bosnia and Herzegovina,51.7 [47.4-55.9],52.2 [47.7-56.6],52.8 [48.0-57.3],53.3 [48.4-58.1]
Botswana,41.9 [37.1-46.4],42.4 [37.5-47.0],42.9 [37.8-47.7],43.4 [38.1-48.4]
Brazil,54.6 [51.1-58.2],55.3 [51.5-59.0],55.9 [51.9-59.8],56.5 [52.3-60.7]
Brunei Darussalam,38.7 [34.2-43.4],39.5 [34.9-44.4],40.4 [35.5-45.4],41.2 [36.1-46.5]
