"country","2013","2014","2015"
"Afghanistan",21.2512,22.6744,23.0072
"Albania",4.8108,4.7929,4.8504
"Algeria",134.1061,143.84,149.9368
"Andorra",0.49098,0.49446,0.49811
"Angola",32.4374,32.4197,32.94
"Anguilla",0.13557,0.13887,0.14199
"Antigua and Barbuda",0.52395,0.5367,0.54876
"Argentina",189.6633,190.8246,193.4585
"Armenia",5.4923,5.4594,5.588
"Aruba",0.8757,0.897,0.91716
"Australia",396.9139,393.1269,399.7418
"Austria",67.9571,64.2626,66.543
"Azerbaijan",35.6141,37.2807,38.3333
"Bahamas",3.1071,3.1794,3.2507
"Bahrain",31.9318,31.1539,33.1387
"Bangladesh",68.8942,71.7132,76.4534
"Barbados",1.4473,1.4818,1.5121
"Belarus",63.717,64.389,60.8009
"Belgium",101.7447,96.3254,99.9482
"Belize",0.51662,0.52941,0.54113
"Benin",5.7928,5.7592,5.8737
"Bermuda",0.36274,0.37156,0.37991
"Bhutan",0.88302,0.92454,0.93505
"Bolivia",19.6867,20.3419,20.5958
"Bonaire, Saint Eustatius and Saba",0.32243,0.33028,0.3377
"Bosnia and Herzegovina",21.8887,20.6291,21.6601
"Botswana",5.4191,6.2174,6.1643
"Brazil",503.2651,526.9791,514.8649
"British Virgin Islands",0.17587,0.18015,0.1842
"Brunei Darussalam",7.7787,8.583,9.1263
"Bulgaria",42.4799,45.0829,47.6766
"Burkina Faso",3.0558,3.0375,3.0998
"Burundi",0.29312,0.30083,0.30435
"Cambodia",5.5693,5.91,5.9707
"Cameroon",6.8077,6.8887,7.1554
"Canada",573.094,574.0998,557.0263
"Cape Verde",0.44334,0.44042,0.4504
"Cayman Islands",0.53861,0.55171,0.56411
"Central African Republic",0.29678,0.29483,0.30151
"Chad",0.60822,0.60421,0.6179
"Chile",83.1032,81.315,80.9444
"China",10408.0131,10433.9301,10357.0677
"Colombia",89.5518,94.4717,98.6884
"Comoros",0.16122,0.16015,0.16378
"Congo",2.4805,2.5231,2.6392
"Cook Islands",0.069616,0.074309,0.0751
"Costa Rica",7.6101,7.8016,7.9523
"C?te d'Ivoire",8.9805,9.4286,10.1694
"Croatia",18.3595,17.6073,17.9571
