"","Country","Region"
"1","Afghanistan ","ASIA"
"2","Albania ","EUROPE"
"3","Algeria ","AFRICA"
"4","American Samoa ","ASIA"
"5","Andorra ","EUROPE"
"6","Angola ","AFRICA"
"7","Anguilla ","AMERICA"
"8","Antigua & Barbuda ","AMERICA"
"9","Argentina ","AMERICA"
"10","Armenia ","ASIA"
"11","Aruba ","AMERICA"
"12","Australia ","ASIA"
"13","Austria ","EUROPE"
"14","Azerbaijan ","ASIA"
"15","Bahamas, The ","AMERICA"
"16","Bahrain ","ASIA"
"17","Bangladesh ","ASIA"
"18","Barbados ","AMERICA"
"19","Belarus ","ASIA"
"20","Belgium ","EUROPE"
"21","Belize ","AMERICA"
"22","Benin ","AFRICA"
"23","Bermuda ","AMERICA"
"24","Bhutan ","ASIA"
"25","Bolivia ","AMERICA"
"26","Bosnia & Herzegovina ","EUROPE"
"27","Botswana ","AFRICA"
"28","Brazil ","AMERICA"
"29","British Virgin Is. ","AMERICA"
"30","Brunei ","ASIA"
"31","Bulgaria ","EUROPE"
"32","Burkina Faso ","AFRICA"
"33","Burma ","ASIA"
"34","Burundi ","AFRICA"
"35","Cambodia ","ASIA"
"36","Cameroon ","AFRICA"
"37","Canada ","AMERICA"
"38","Cape Verde ","AFRICA"
"39","Cayman Islands ","AMERICA"
"40","Central African Rep. ","AFRICA"
"41","Chad ","AFRICA"
"42","Chile ","AMERICA"
"43","China ","ASIA"
"44","Colombia ","AMERICA"
"45","Comoros ","AFRICA"
"46","Congo, Dem. Rep. ","AFRICA"
"47","Congo, Repub. of the ","AFRICA"
"48","Cook Islands ","ASIA"
"49","Costa Rica ","AMERICA"
"50","Cote d'Ivoire ","AFRICA"
"51","Croatia ","EUROPE"
"52","Cuba ","AMERICA"
"53","Cyprus ","ASIA"
"54","Czech Republic ","EUROPE"
"55","Denmark ","EUROPE"
"56","Djibouti ","AFRICA"
"57","Dominica ","AMERICA"
"58","Dominican Republic ","AMERICA"
"59","East Timor ","ASIA"
"60","Ecuador ","AMERICA"
"61","Egypt ","AFRICA"
"62","El Salvador ","AMERICA"
"63","Equatorial Guinea ","AFRICA"
"64","Eritrea ","AFRICA"
"65","Estonia ","EUROPE"
"66","Ethiopia ","AFRICA"
"67","Faroe Islands ","EUROPE"
"68","Fiji ","ASIA"
"69","Finland ","EUROPE"
"70","France ","EUROPE"
"71","French Guiana ","AMERICA"
"72","French Polynesia ","ASIA"
