"","Country.Name","Country.Code","life","aa","am","af","eu","gdp","sani","pre","pri","sec","ter","smo","ob","al","co2","hiv","NA"
"1","Albania","ALB",78.20314634,0,0,0,1,4146.89625,93.2,88.60224152,111.8770828,95.76548767,8.662799835,29.7,23.8,57.7,93.2,1.978763312,0.1
"2","Argentina","ARG",76.29302439,0,0,1,0,12449.21685,96.4,72.75393677,116.3458405,88.50235748,28.17495918,25.3,18.1,62.7,96.4,4.746797455,0.4
"3","Armenia","ARM",74.20619512,1,0,0,0,3606.152057,89.5,52.39516068,109.9888916,102.7054596,82.91738892,28,24.7,54.4,89.5,1.90275891,0.2
"4","Australia","AUS",82.45121951,1,0,0,0,49927.81951,100,124.9199829,97.0528717,100.0218887,90.3065033,16,13.7,64.5,100,15.39859985,0.1
"5","Azerbaijan","AZE",71.84519512,1,0,0,0,3876.936433,89.3,23.87578964,102.9701614,166.8084717,25.48320007,23.5,18.6,53.6,89.3,3.931560609,0.1
"6","Bahrain","BHR",76.86519512,1,0,0,0,22354.16707,99.2,55.85834122,97.2181778,80.79221344,43.26322937,30.3,27.1,65.8,99.2,23.44975483,0.1
"7","Bangladesh","BGD",72.22160976,1,0,0,0,1358.779752,60.6,31.22426987,87.99263,102.1308975,13.44079971,21.8,19.6,20,60.6,0.459141965,0.1
"8","Barbados","BRB",75.63790244,0,0,1,0,16096.89259,96.2,84.20606995,115.3407898,84.19769287,10.92693043,7,5,52.4,96.2,4.490177673,1.3
"9","Belarus","BLR",73.62439024,0,0,0,1,4989.254611,94.3,103.2291107,101.1711731,71.5424118,87.94074249,27.9,22.6,59.4,94.3,6.701957705,0.4
"10","Benin","BEN",60.58468293,0,1,0,0,789.4404107,19.7,23.90070915,104.1929779,63.5245285,15.36277962,8.8,7.4,29.5,19.7,0.614213852,1
"11","Brazil","BRA",75.19912195,0,0,1,0,8649.948492,82.8,92.17723846,97.13803864,96.07946777,30.84477997,16.1,12.7,56.5,82.8,2.594388285,0.6
"12","Bulgaria","BGR",74.46585366,0,0,0,1,7350.795801,86,82.91227722,120.4330597,107.1194229,73.93419647,36.8,30,61.7,86,5.871615869,0.1
"13","Burkina Faso","BFA",59.84465854,0,1,0,0,649.7304837,19.7,4.142320156,128.9833527,99.01634979,5.562180042,19.1,16.2,23.2,19.7,0.162018806,0.8
"14","Cabo Verde","CPV",72.43517073,0,1,0,0,2997.75268,72.2,73.65196228,103.1701508,100.3998718,22.43045044,12.2,9.7,34.8,72.2,0.933403237,0.8
"15","Cambodia","KHM",68.47204878,1,0,0,0,1269.907238,42.4,17.94376945,97.34287262,94.02172089,27.02705002,23,19.8,21.7,42.4,0.437759998,0.6
"16","Cameroon","CMR",57.5575122,0,1,0,0,1032.648722,45.8,37.83330154,93.63452148,60.35041046,55.65726852,18.8,13.6,33.6,45.8,0.314928068,3.8
"17","Chile","CHL",79.16068293,0,0,1,0,13792.92605,99.1,87.00312042,103.9151306,58.07812881,17.47789955,38.9,27.5,63.1,99.1,4.687376624,0.5
"18","Colombia","COL",74.15619512,0,0,1,0,5805.605335,81.1,84.49167633,106.9730911,123.0857315,21.70782089,11.6,8.1,59,81.1,1.759537174,0.4
"19","Comoros","COM",63.46068293,0,1,0,0,775.0800847,35.8,20.50259972,113.5627213,79.32602692,53.62966156,15.3,12.5,27.1,35.8,0.202814119,0.1
"20","Costa Rica","CRI",79.60890244,0,0,1,0,11824.6381,94.5,52.37208939,109.8879013,88.34554291,36.28039932,14.2,8.3,61.6,94.5,1.630951062,0.4
"21","Croatia","HRV",77.27560976,0,0,0,1,12090.66656,97,62.72557068,97.62001801,82.45755768,36.68431854,36,31.1,59.6,97,3.973804906,0.1
"22","Cuba","CUB",79.54370732,0,0,1,0,7602.261218,93.2,102.0287628,99.75256348,105.5617294,60.10123062,36.1,23.4,58.5,93.2,3.045210624,0.4
"23","Czech Republic","CZE",79.47317073,0,0,0,1,18266.54969,99.1,105.9042435,175.2441864,48.26956177,68.26558685,33.4,24.7,62.3,99.1,9.165978376,0.1
"24","Dominican Republic","DOM",73.70368293,0,0,1,0,6722.223536,84,44.00492859,116.0123215,70.37068176,26.78463936,14.5,11.3,61.2,84,2.069986634,1
"25","Ecuador","ECU",76.0815122,0,0,1,0,5968.984138,84.7,71.38877106,105.4209595,111.4196625,71.00148773,9,4.5,56,84.7,2.761702175,0.3
"26","Ethiopia","ETH",65.00829268,0,1,0,0,706.7577541,28,30.3617897,103.731369,112.7937393,67.71476746,4.7,3.3,20.9,28,0.119124015,1.1
"27","France","FRA",82.67073171,0,0,0,1,36854.96828,98.7,108.8067322,102.1220627,127.8112869,56.47676849,28.1,23.5,59.5,98.7,4.572088353,0.4
"28","Ghana","GHA",62.4072439,0,1,0,0,1513.461034,14.9,118.214798,101.5337296,38.82326889,10.84932995,6.3,4.9,32,14.9,0.536533378,1.6
"29","Honduras","HND",73.32460976,0,0,1,0,2361.15762,82.6,45.95742035,93.43701935,98.21647644,69.05249023,18.9,11.1,55.8,82.6,1.07522179,0.4
"30","India","IND",68.33260976,1,0,0,0,1709.387921,39.6,12.20660019,107.3860016,89.16723633,71.88114166,12.4,10.7,19.7,39.6,1.730000432,0.3
"31","Indonesia","IDN",69.03863415,1,0,0,0,3570.294888,60.8,58.15596008,97.96414948,73.96920013,26.87487984,38.5,33.1,28.2,60.8,1.819363319,0.4
"32","Ireland","IRL",81.50243902,0,0,0,1,61606.48294,90.5,96.7951889,104.865242,118.5564117,81.26036835,23.2,19.2,60.6,90.5,7.378117809,0.2
"33","Italy","ITA",83.4902439,0,0,0,1,30527.2682,99.5,98.66101837,103.3951187,82.44554138,44.86951828,24.2,22,58.5,99.5,5.270866786,0.3
