Country Name,Country Code,Alcho,Gdp,Sanitation,HIV,CO2,Life expectancy 
Aruba,ABW,97.7,,97.7,,8.408362638,75.59434146
Afghanistan,AFG,31.9,19469022208,31.9,0.1,0.299444991,63.29819512
Angola,AGO,51.6,89633156470,51.6,1.9,1.291328315,61.18934146
Albania,ALB,93.2,11926892453,93.2,0.1,1.978763312,78.20314634
Andorra,AND,100,,100,,5.832169951,
Arab World,ARB,90.3704944,2.50E+12,90.3704944,0.130893922,4.860233832,71.02843854
United Arab Emirates,ARE,97.6,3.49E+11,97.6,,23.30202251,77.4842439
Argentina,ARG,96.4,5.46E+11,96.4,0.4,4.746797455,76.29302439
Armenia,ARM,89.5,10547331235,89.5,0.2,1.90275891,74.20619512
American Samoa,ASM,62.5,,62.5,,,
Antigua and Barbuda,ATG,,1449160185,,,5.377648546,76.07563415
Australia,AUS,100,1.20E+12,100,0.1,15.39859985,82.45121951
Austria,AUT,100,3.86E+11,100,,6.87371322,81.84390244
Azerbaijan,AZE,89.3,37847715736,89.3,0.1,3.931560609,71.84519512
Burundi,BDI,48,3007029030,48,1.1,0.044485376,57.06934146
Belgium,BEL,99.5,4.66E+11,99.5,,8.328159898,81.28780488
Benin,BEN,19.7,8583031398,19.7,1,0.614213852,60.58468293
Burkina Faso,BFA,19.7,12115155932,19.7,0.8,0.162018806,59.84465854
Bangladesh,BGD,60.6,2.21E+11,60.6,0.1,0.459141965,72.22160976
Bulgaria,BGR,86,52395164027,86,0.1,5.871615869,74.46585366
Bahrain,BHR,99.2,31858510638,99.2,0.1,23.44975483,76.86519512
"Bahamas, The",BHS,92,9047000000,92,3.3,6.323257512,75.36878049
Bosnia and Herzegovina,BIH,94.8,16559695719,94.8,,6.234719162,76.64029268
Belarus,BLR,94.3,47433442293,94.3,0.4,6.701957705,73.62439024
Belize,BLZ,90.5,1765256400,90.5,1.8,1.407601494,70.31097561
Bermuda,BMU,,,,,8.838314988,81.01219512
Bolivia,BOL,50.3,33806395514,50.3,0.3,1.932419499,68.74980488
Brazil,BRA,82.8,1.80E+12,82.8,0.6,2.594388285,75.19912195
Barbados,BRB,96.2,4587550000,96.2,1.3,4.490177673,75.63790244
Brunei Darussalam,BRN,,11400266877,,,22.12470124,77.0667561
Bhutan,BTN,50.4,2236933238,50.4,,1.289321371,69.80712195
Botswana,BWA,63.4,15274861068,63.4,21.9,3.243287637,65.75109756
Central African Republic,CAF,21.8,1756124677,21.8,4,0.066593111,51.37785366
Canada,CAN,99.8,1.53E+12,99.8,,15.1132392,82.12902439
Central Europe and the Baltics,CEB,93.01710798,1.30E+12,93.01710798,,6.14888254,77.0269071
Switzerland,CHE,99.9,6.60E+11,99.9,,4.311562994,83.19756098
Channel Islands,CHI,,,,,,80.88526829
Chile,CHL,99.1,2.47E+11,99.1,0.5,4.687376624,79.16068293
China,CHN,76.5,1.12E+13,76.5,,7.543907641,76.11709756
Cote d'Ivoire,CIV,22.5,36164644633,22.5,2.7,0.490206046,53.0782439
Cameroon,CMR,45.8,24204448567,45.8,3.8,0.314928068,57.5575122
"Congo, Dem. Rep.",COD,28.7,34998638634,28.7,0.7,0.063369191,59.17321951
"Congo, Rep.",COG,15,7833509443,15,3.1,0.635369293,64.09073171
Colombia,COL,81.1,2.82E+11,81.1,0.4,1.759537174,74.15619512
Comoros,COM,35.8,616654490.5,35.8,0.1,0.202814119,63.46068293
