"ISO.code","Country","Reference.year","Primary","Lower.Secondary","Upper.Secondary"
"AFG","Afghanistan","2011",41,22,14
"ALB","Albania","2008-09",98,96,46
"ARG","Argentina","2011-12",96,76,59
"ARM","Armenia","2010",100,99,93
"BDI","Burundi","2010",39,11,3
"BEN","Benin","2011-12",59,30,15
"BFA","Burkina Faso","2010",31,9,4
"BGD","Bangladesh","2014",80,55,28
"BIH","Bosnia and Herzegovina","2011-12",100,97,92
"BLR","Belarus","2012",100,100,97
"BLZ","Belize","2011",82,44,22
"BOL","Bolivia (Plurinational State of)","2008",92,84,60
"BRA","Brazil","2013",96,77,59
"BRB","Barbados","2012",99,98,94
"BTN","Bhutan","2010",69,39,21
"CAF","Central African Republic","2010",43,11,7
"CIV","C?te d'Ivoire","2011-12",45,24,14
"CMR","Cameroon","2011",67,34,15
"COD","Democratic Republic of the Congo","2013",69,54,25
"COG","Congo","2011-12",79,37,17
"COL","Colombia","2010",92,75,66
"COM","Comoros","2012",76,46,28
"CRI","Costa Rica","2011",94,63,47
"DOM","Dominican Republic","2013",89,82,55
"DZA","Algeria","2012-13",94,64,38
"EGY","Egypt","2014",91,80,70
"ETH","Ethiopia","2011",43,17,13
"GAB","Gabon","2012",62,25,11
"GHA","Ghana","2014",66,50,38
"GIN","Guinea","2012",42,25,15
"GUY","Guyana","2009",94,77,54
"HND","Honduras","2011-12",83,48,30
"HTI","Haiti","2012",41,28,10
"IDN","Indonesia","2012",95,75,50
"IRQ","Iraq","2011",65,38,35
"JAM","Jamaica","2011",99,97,82
"JOR","Jordan","2012",98,89,59
"KAZ","Kazakhstan","2010-11",100,99,65
"KEN","Kenya","2014",79,65,41
"KGZ","Kyrgyzstan","2014",99,96,83
"KHM","Cambodia","2014",73,40,20
"LAO","Lao People's Democratic Republic","2011-12",67,38,25
"LBR","Liberia","2013",34,26,13
"LCA","Saint Lucia","2012",99,91,80
"LSO","Lesotho","2009",65,28,17
"MDA","Republic of Moldova","2012",99,97,69
"MDG","Madagascar","2008-09",39,13,6
"MDV","Maldives","2009",96,74,13
"MKD","The former Yugoslav Republic of Macedonia","2011",100,98,74
"MLI","Mali","2012-13",43,18,8
"MNE","Montenegro","2013",100,99,86
"MNG","Mongolia","2010",96,85,63
"MOZ","Mozambique","2011",40,12,6
"MRT","Mauritania","2011",40,26,13
"MWI","Malawi","2013-14",48,22,12
"NAM","Namibia","2013",81,56,36
"NER","Niger","2012",29,6,2
"NGA","Nigeria","2013",68,51,49
"NPL","Nepal","2014",75,65,24
"PAK","Pakistan","2012-13",61,46,36
"PAN","Panama","2013",95,78,63
"PER","Peru","2012",95,83,75
"PSE","State of Palestine","2014",99,86,62
"RWA","Rwanda","2010",40,15,10
"SDN","Sudan","2010",69,55,32
"SEN","Senegal","2014",50,23,8
"SLE","Sierra Leone","2013",67,40,20
"SRB","Serbia","2014",99,99,76
"SSD","South Sudan","2010",24,16,8
"STP","Sao Tome and Principe","2008-09",67,29,1
"SUR","Suriname","2010",79,46,18
"SWZ","Swaziland","2010",66,47,28
"TCD","Chad","2010",27,12,6
"TGO","Togo","2013-14",63,25,15
"TJK","Tajikistan","2012",98,88,62
"TLS","Timor-Leste","2009-10",60,44,28
"TUN","Tunisia","2011-12",93,66,42
"TUR","Turkey","2013",99,92,53
"TZA","United Republic of Tanzania","2010",71,14,3
"UGA","Uganda","2011",36,23,15
"UKR","Ukraine","2012",100,100,97
"URY","Uruguay","2012-13",94,60,35
"VNM","Viet Nam","2014",97,84,56
"YEM","Yemen","2013",63,46,30
"ZAF","South Africa","2014",91,82,50
"ZMB","Zambia","2013-14",74,51,28
"ZWE","Zimbabwe","2014",87,70,10
