"","Country.Name","Country.Code","X2014","X2015","X2016"
"1","Afghanistan","AFG",20050189882,19702986341,19469022208
"2","Angola","AGO",1.26777e+11,1.02962e+11,89633156470
"3","Albania","ALB",13219857459,11390365294,11926892453
"4","Arab World","ARB",2.9044e+12,2.56113e+12,2.50093e+12
"5","United Arab Emirates","ARE",4.03198e+11,3.57949e+11,3.48743e+11
"6","Argentina","ARG",5.2632e+11,5.84711e+11,5.45866e+11
"7","Armenia","ARM",11609512940,10529182498,10547331235
"8","Antigua and Barbuda","ATG",1274330333,1355645889,1449160185
"9","Australia","AUS",1.4596e+12,1.34538e+12,1.20462e+12
"10","Austria","AUT",4.38376e+11,3.76967e+11,3.86428e+11
"11","Azerbaijan","AZE",75244166773,53074370486,37847715736
"12","Burundi","BDI",3093647227,3097324740,3007029030
"13","Belgium","BEL",5.31751e+11,4.54991e+11,4.66366e+11
"14","Benin","BEN",9707432016,8290986804,8583031398
"15","Burkina Faso","BFA",12400688571,11148759325,12115155932
"16","Bangladesh","BGD",1.72885e+11,1.95079e+11,2.21415e+11
"17","Bulgaria","BGR",56732006512,50199117547,52395164027
"18","Bahrain","BHR",33387712766,31125851064,31858510638
"19","Bahamas, The","BHS",8.618e+09,8.854e+09,9.047e+09
"20","Bosnia and Herzegovina","BIH",18521475376,16173806635,16559695719
"21","Belarus","BLR",78813049850,56454775871,47433442293
"22","Belize","BLZ",1706497950,1742545900,1765256400
"23","Bolivia","BOL",32996187988,33000198263,33806395514
"24","Brazil","BRA",2.45599e+12,1.80365e+12,1.79619e+12
"25","Barbados","BRB",4352700000,4421800000,4587550000
"26","Brunei Darussalam","BRN",17123125493,12930394938,11400266877
"27","Bhutan","BTN",1958819915,2057947621,2236933238
"28","Botswana","BWA",16259445050,14430608463,15274861068
"29","Central African Republic","CAF",1702898940,1583776760,1756124677
"30","Canada","CAN",1.79288e+12,1.55281e+12,1.52976e+12
"31","Central Europe and the Baltics","CEB",1.46197e+12,1.28154e+12,1.30338e+12
"32","Switzerland","CHE",7.02706e+11,6.7079e+11,6.59827e+11
"33","Chile","CHL",2.6099e+11,2.42518e+11,2.47028e+11
