"","Country.Name","Country.Code","X2014","X2015","X2016"
"1","Aruba","ABW",97.7,97.7,NA
"2","Afghanistan","AFG",31.8,31.9,NA
"3","Angola","AGO",51.1,51.6,NA
"4","Albania","ALB",93.2,93.2,NA
"5","Andorra","AND",100,100,NA
"6","Arab World","ARB",83.14532478,90.3704944,NA
"7","United Arab Emirates","ARE",97.5,97.6,NA
"8","Argentina","ARG",96.1,96.4,NA
"9","Armenia","ARM",89.5,89.5,NA
"10","American Samoa","ASM",62.5,62.5,NA
"11","Australia","AUS",100,100,NA
"12","Austria","AUT",100,100,NA
"13","Azerbaijan","AZE",87.9,89.3,NA
"14","Burundi","BDI",48,48,NA
"15","Belgium","BEL",99.5,99.5,NA
"16","Benin","BEN",19.6,19.7,NA
"17","Burkina Faso","BFA",19.4,19.7,NA
"18","Bangladesh","BGD",59.6,60.6,NA
"19","Bulgaria","BGR",86,86,NA
"20","Bahrain","BHR",99.2,99.2,NA
"21","Bahamas, The","BHS",92,92,NA
"22","Bosnia and Herzegovina","BIH",94.8,94.8,NA
"23","Belarus","BLR",94.3,94.3,NA
"24","Belize","BLZ",90.5,90.5,NA
"25","Bolivia","BOL",50.2,50.3,NA
"26","Brazil","BRA",82.7,82.8,NA
"27","Barbados","BRB",96.2,96.2,NA
"28","Bhutan","BTN",50.1,50.4,NA
"29","Botswana","BWA",63.3,63.4,NA
"30","Central African Republic","CAF",21.7,21.8,NA
"31","Canada","CAN",99.8,99.8,NA
"32","Central Europe and the Baltics","CEB",92.96811623,93.01710798,NA
"33","Switzerland","CHE",99.9,99.9,NA
"34","Chile","CHL",99,99.1,NA
"35","China","CHN",75.4,76.5,NA
"36","Cote d'Ivoire","CIV",22.3,22.5,NA
"37","Cameroon","CMR",45.6,45.8,NA
"38","Congo, Dem. Rep.","COD",28.3,28.7,NA
"39","Congo, Rep.","COG",14.9,15,NA
"40","Colombia","COL",81.1,81.1,NA
"41","Comoros","COM",35.8,35.8,NA
"42","Cabo Verde","CPV",72,72.2,NA
"43","Costa Rica","CRI",94.5,94.5,NA
"44","Caribbean small states","CSS",85.81067044,85.82602619,NA
"45","Cuba","CUB",93.2,93.2,NA
"46","Cayman Islands","CYM",95.5,95.6,NA
"47","Cyprus","CYP",100,100,NA
"48","Czech Republic","CZE",99.1,99.1,NA
"49","Germany","DEU",99.2,99.2,NA
"50","Djibouti","DJI",47.4,47.4,NA
"51","Denmark","DNK",99.6,99.6,NA
"52","Dominican Republic","DOM",83.6,84,NA
"53","Algeria","DZA",87.4,87.6,NA
"54","East Asia & Pacific (excluding high income)","EAP",74.00567888,74.88526781,NA
"55","Early-demographic dividend","EAR",57.19334869,57.55975819,NA
"56","East Asia & Pacific","EAS",76.42601128,77.21394434,NA
"57","Europe & Central Asia (excluding high income)","ECA",85.98021073,86.13442165,NA
"58","Europe & Central Asia","ECS",93.01784645,93.08371465,NA
"59","Ecuador","ECU",84.7,84.7,NA
"60","Egypt, Arab Rep.","EGY",94.7,94.7,NA
"61","Euro area","EMU",98.92623801,98.9317313,NA
"62","Eritrea","ERI",15.6,15.7,NA
"63","Spain","ESP",99.9,99.9,NA
"64","Estonia","EST",97.2,97.2,NA
"65","Ethiopia","ETH",26.8,28,NA
"66","European Union","EUU",97.85247241,97.86793743,NA
"67","Fragile and conflict affected situations","FCS",41.6497724,43.27625402,NA
"68","Finland","FIN",97.6,97.6,NA
"69","Fiji","FJI",91.1,91.1,NA
"70","France","FRA",98.7,98.7,NA
"71","Micronesia, Fed. Sts.","FSM",57.1,57.1,NA
"72","Gabon","GAB",41.8,41.9,NA
"73","United Kingdom","GBR",99.2,99.2,NA
"74","Georgia","GEO",86.9,86.3,NA
"75","Ghana","GHA",14.8,14.9,NA
"76","Guinea","GIN",20,20.1,NA
"77","Gambia, The","GMB",58.8,58.9,NA
"78","Guinea-Bissau","GNB",20.7,20.8,NA
"79","Equatorial Guinea","GNQ",74.5,74.5,NA
"80","Greece","GRC",99,99,NA
"81","Grenada","GRD",98,98,NA
"82","Greenland","GRL",100,100,NA
"83","Guatemala","GTM",63.7,63.9,NA
"84","Guam","GUM",89.8,89.8,NA
"85","Guyana","GUY",83.6,83.7,NA
"86","High income","HIC",99.40992631,99.41483382,NA
"87","Honduras","HND",82.6,82.6,NA
"88","Heavily indebted poor countries (HIPC)","HPC",26.82480029,27.37943101,NA
"89","Croatia","HRV",97.1,97,NA
"90","Haiti","HTI",27.4,27.6,NA
"91","Hungary","HUN",98,98,NA
"92","IBRD only","IBD",67.5459731,67.98119666,NA
"93","IDA & IBRD total","IBT",61.12131059,61.71785533,NA
"94","IDA total","IDA",40.91382646,41.75391115,NA
"95","IDA blend","IDB",47.14816366,47.61714249,NA
"96","Indonesia","IDN",60.6,60.8,NA
"97","IDA only","IDX",37.70138773,38.60668702,NA
"98","India","IND",39.5,39.6,NA
"99","Ireland","IRL",90.5,90.5,NA
"100","Iran, Islamic Rep.","IRN",89.9,90,NA
"101","Iraq","IRQ",85.6,85.6,NA
"102","Iceland","ISL",98.8,98.8,NA
"103","Israel","ISR",100,100,NA
"104","Italy","ITA",99.5,99.5,NA
"105","Jamaica","JAM",81.8,81.8,NA
"106","Jordan","JOR",98.6,98.6,NA
"107","Japan","JPN",100,100,NA
"108","Kazakhstan","KAZ",97.5,97.5,NA
"109","Kenya","KEN",30.1,30.1,NA
"110","Kyrgyz Republic","KGZ",93.2,93.3,NA
"111","Cambodia","KHM",40.8,42.4,NA
"112","Kiribati","KIR",39.7,39.7,NA
"113","Korea, Rep.","KOR",100,100,NA
"114","Kuwait","KWT",100,100,NA
"115","Latin America & Caribbean (excluding high income)","LAC",82.32732853,82.47555086,NA
"116","Lao PDR","LAO",70.5,70.9,NA
"117","Lebanon","LBN",80.7,80.7,NA
"118","Liberia","LBR",16.6,16.9,NA
"119","Libya","LBY",96.6,96.6,NA
"120","St. Lucia","LCA",90.5,90.5,NA
"121","Latin America & Caribbean","LCN",83.00996695,83.15067982,NA
"122","Least developed countries: UN classification","LDC",36.31038168,37.30924094,NA
"123","Low income","LIC",27.8769956,28.26279998,NA
"124","Sri Lanka","LKA",95.1,95.1,NA
"125","Lower middle income","LMC",51.57096975,52.22788869,NA
"126","Low & middle income","LMY",60.92589606,61.5255842,NA
"127","Lesotho","LSO",30.2,30.3,NA
"128","Late-demographic dividend","LTE",78.67533905,79.44302132,NA
"129","Lithuania","LTU",92,92.4,NA
"130","Luxembourg","LUX",97.6,97.6,NA
"131","Latvia","LVA",87.4,87.8,NA
"132","Morocco","MAR",76.6,76.7,NA
"133","Monaco","MCO",100,100,NA
"134","Moldova","MDA",76.4,76.4,NA
"135","Madagascar","MDG",11.9,12,NA
"136","Maldives","MDV",98,97.9,NA
"137","Middle East & North Africa","MEA",91.08638846,91.13792823,NA
"138","Mexico","MEX",85.1,85.2,NA
"139","Marshall Islands","MHL",76.8,76.9,NA
"140","Middle income","MIC",64.64305755,65.35299948,NA
"141","Macedonia, FYR","MKD",90.9,90.9,NA
"142","Mali","MLI",24.2,24.7,NA
"143","Malta","MLT",100,100,NA
"144","Myanmar","MMR",79.5,79.6,NA
"145","Middle East & North Africa (excluding high income)","MNA",89.61472696,89.6601359,NA
"146","Montenegro","MNE",95.6,95.9,NA
"147","Mongolia","MNG",59.1,59.7,NA
"148","Northern Mariana Islands","MNP",79.7,79.7,NA
"149","Mozambique","MOZ",20.4,20.5,NA
"150","Mauritania","MRT",39.7,40,NA
"151","Mauritius","MUS",93.2,93.1,NA
"152","Malawi","MWI",40.6,41,NA
"153","Malaysia","MYS",96,96,NA
"154","North America","NAC",99.97992445,99.9799024,NA
"155","Namibia","NAM",34,34.4,NA
"156","New Caledonia","NCL",100,100,NA
"157","Niger","NER",10.8,10.9,NA
"158","Nigeria","NGA",29.3,29,NA
"159","Nicaragua","NIC",67.8,67.9,NA
"160","Netherlands","NLD",97.7,97.7,NA
"161","Norway","NOR",98.1,98.1,NA
"162","Nepal","NPL",44.2,45.8,NA
"163","Nauru","NRU",65.6,65.6,NA
"164","OECD members","OED",97.75613067,97.78039416,NA
"165","Oman","OMN",96.7,96.7,NA
"166","Other small states","OSS",62.85095726,62.91323396,NA
"167","Pakistan","PAK",61.8,63.5,NA
"168","Panama","PAN",74.5,75,NA
"169","Peru","PER",75.4,76.2,NA
"170","Philippines","PHL",73.2,73.9,NA
"171","Palau","PLW",100,100,NA
"172","Papua New Guinea","PNG",18.9,18.9,NA
"173","Poland","POL",97.2,97.2,NA
"174","Pre-demographic dividend","PRE",29.32484915,29.71801025,NA
"175","Puerto Rico","PRI",99.3,99.3,NA
"176","Korea, Dem. People¡¯s Rep.","PRK",81.9,81.9,NA
"177","Portugal","PRT",99.7,99.7,NA
"178","Paraguay","PRY",87.8,88.6,NA
"179","West Bank and Gaza","PSE",92.3,92.3,NA
"180","Pacific island small states","PSS",67.78217804,67.70081718,NA
"181","Post-demographic dividend","PST",99.22020019,99.22398698,NA
"182","French Polynesia","PYF",98.5,98.5,NA
"183","Qatar","QAT",98,98,NA
"184","Romania","ROU",79,79.1,NA
"185","Russian Federation","RUS",72.2,72.2,NA
"186","Rwanda","RWA",60.8,61.6,NA
"187","South Asia","SAS",44.38382424,44.77448107,NA
"188","Saudi Arabia","SAU",100,100,NA
"189","Senegal","SEN",47.1,47.6,NA
"190","Singapore","SGP",100,100,NA
"191","Solomon Islands","SLB",29.5,29.8,NA
"192","Sierra Leone","SLE",13.1,13.3,NA
"193","El Salvador","SLV",74.2,75,NA
"194","Serbia","SRB",96.5,96.4,NA
"195","Sub-Saharan Africa (excluding high income)","SSA",29.32380419,29.78690499,NA
"196","South Sudan","SSD",6.7,6.7,NA
"197","Sub-Saharan Africa","SSF",29.33034305,29.79363077,NA
"198","Small states","SST",67.34089257,67.33406124,NA
"199","Sao Tome and Principe","STP",34.6,34.7,NA
"200","Suriname","SUR",79.2,79.2,NA
"201","Slovak Republic","SVK",98.8,98.8,NA
"202","Slovenia","SVN",99.1,99.1,NA
"203","Sweden","SWE",99.3,99.3,NA
"204","Swaziland","SWZ",57.5,57.5,NA
"205","Seychelles","SYC",98.4,98.4,NA
"206","Syrian Arab Republic","SYR",95.7,95.7,NA
"207","Chad","TCD",12,12.1,NA
"208","East Asia & Pacific (IDA & IBRD countries)","TEA",73.90697866,74.79783181,NA
"209","Europe & Central Asia (IDA & IBRD countries)","TEC",86.94241813,87.07774811,NA
"210","Togo","TGO",11.6,11.6,NA
"211","Thailand","THA",93,93,NA
"212","Tajikistan","TJK",95,95,NA
"213","Latin America & the Caribbean (IDA & IBRD countries)","TLA",82.70490711,82.85376557,NA
"214","Timor-Leste","TLS",40.4,40.6,NA
"215","Middle East & North Africa (IDA & IBRD countries)","TMN",89.57983708,89.62540375,NA
"216","Tonga","TON",91,91,NA
"217","South Asia (IDA & IBRD)","TSA",44.38382424,44.77448107,NA
"218","Sub-Saharan Africa (IDA & IBRD countries)","TSS",29.33034305,29.79363077,NA
"219","Trinidad and Tobago","TTO",91.5,91.5,NA
"220","Tunisia","TUN",91.6,91.6,NA
"221","Turkey","TUR",94.5,94.9,NA
"222","Tanzania","TZA",15,15.6,NA
"223","Uganda","UGA",19,19.1,NA
"224","Ukraine","UKR",95.9,95.9,NA
"225","Upper middle income","UMC",79.59041902,80.2660468,NA
"226","Uruguay","URY",96.3,96.4,NA
"227","United States","USA",100,100,NA
"228","Uzbekistan","UZB",100,100,NA
"229","Venezuela, RB","VEN",94.4,94.4,NA
"230","British Virgin Islands","VGB",97.5,97.5,NA
"231","Virgin Islands (U.S.)","VIR",96.4,96.4,NA
"232","Vietnam","VNM",76.3,78,NA
"233","Vanuatu","VUT",57.9,57.9,NA
"234","World","WLD",67.02651784,67.52874483,NA
"235","Samoa","WSM",91.5,91.5,NA
"236","South Africa","ZAF",65.8,66.4,NA
"237","Zambia","ZMB",43.7,43.9,NA
"238","Zimbabwe","ZWE",37,36.8,NA
