Country Name,Country Code,Indicator Name,2013,2014,2015,2016
Aruba,ABW,"Life expectancy at birth, total (years)",75.31973171,75.45678049,75.59434146,
Afghanistan,AFG,"Life expectancy at birth, total (years)",62.50160976,62.90268293,63.29819512,
Angola,AGO,"Life expectancy at birth, total (years)",60.3217561,60.80673171,61.18934146,
Albania,ALB,"Life expectancy at birth, total (years)",77.74709756,77.99839024,78.20314634,
Arab World,ARB,"Life expectancy at birth, total (years)",70.63137828,70.82758949,71.02843854,
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",77.175,77.32936585,77.4842439,
Argentina,ARG,"Life expectancy at birth, total (years)",75.97456098,76.134,76.29302439,
Armenia,ARM,"Life expectancy at birth, total (years)",73.81192683,74.01958537,74.20619512,
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",75.77365854,75.92409756,76.07563415,
Australia,AUS,"Life expectancy at birth, total (years)",82.14878049,82.3,82.45121951,
Austria,AUT,"Life expectancy at birth, total (years)",81.13658537,81.4902439,81.84390244,
Azerbaijan,AZE,"Life expectancy at birth, total (years)",71.58141463,71.7247561,71.84519512,
Burundi,BDI,"Life expectancy at birth, total (years)",56.2345122,56.66331707,57.06934146,
Belgium,BEL,"Life expectancy at birth, total (years)",80.58780488,81.28780488,81.28780488,
Benin,BEN,"Life expectancy at birth, total (years)",60.0565122,60.31812195,60.58468293,
Burkina Faso,BFA,"Life expectancy at birth, total (years)",58.86036585,59.37529268,59.84465854,
Bangladesh,BGD,"Life expectancy at birth, total (years)",71.4977561,71.87165854,72.22160976,
Bulgaria,BGR,"Life expectancy at birth, total (years)",74.86097561,74.46585366,74.46585366,
Bahrain,BHR,"Life expectancy at birth, total (years)",76.58521951,76.72546341,76.86519512,
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",75.06653659,75.21763415,75.36878049,
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",76.29034146,76.46356098,76.64029268,
Belarus,BLR,"Life expectancy at birth, total (years)",72.47073171,72.97073171,73.62439024,
Belize,BLZ,"Life expectancy at birth, total (years)",70.01307317,70.1475122,70.31097561,
Bermuda,BMU,"Life expectancy at birth, total (years)",80.57243902,80.79731707,81.01219512,
Bolivia,BOL,"Life expectancy at birth, total (years)",67.91736585,68.35031707,68.74980488,
Brazil,BRA,"Life expectancy at birth, total (years)",74.69634146,74.9582439,75.19912195,
Barbados,BRB,"Life expectancy at birth, total (years)",75.32795122,75.48390244,75.63790244,
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",76.85121951,76.94173171,77.0667561,
Bhutan,BTN,"Life expectancy at birth, total (years)",69.02507317,69.41797561,69.80712195,
Botswana,BWA,"Life expectancy at birth, total (years)",63.55065854,64.69439024,65.75109756,
Central African Republic,CAF,"Life expectancy at birth, total (years)",49.79565854,50.59104878,51.37785366,
Canada,CAN,"Life expectancy at birth, total (years)",81.77204878,81.95304878,82.12902439,
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",76.35516299,76.68547642,77.0269071,
Switzerland,CHE,"Life expectancy at birth, total (years)",82.79756098,83.19756098,83.19756098,
Channel Islands,CHI,"Life expectancy at birth, total (years)",80.58112195,80.735,80.88526829,
Chile,CHL,"Life expectancy at birth, total (years)",78.78026829,78.9644878,79.16068293,
China,CHN,"Life expectancy at birth, total (years)",75.79517073,75.95719512,76.11709756,
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",52.01604878,52.54707317,53.0782439,
Cameroon,CMR,"Life expectancy at birth, total (years)",56.64197561,57.08780488,57.5575122,
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",58.31239024,58.74860976,59.17321951,
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",62.87009756,63.51531707,64.09073171,
Colombia,COL,"Life expectancy at birth, total (years)",73.80365854,73.97895122,74.15619512,
Comoros,COM,"Life expectancy at birth, total (years)",62.90907317,63.20214634,63.46068293,
Cabo Verde,CPV,"Life expectancy at birth, total (years)",72.09653659,72.25431707,72.43517073,
Costa Rica,CRI,"Life expectancy at birth, total (years)",79.23156098,79.41685366,79.60890244,
Caribbean small states,CSS,"Life expectancy at birth, total (years)",72.76324049,72.91101405,73.04810113,
Cuba,CUB,"Life expectancy at birth, total (years)",79.25634146,79.38970732,79.54370732,
Curacao,CUW,"Life expectancy at birth, total (years)",,77.82439024,,
Cyprus,CYP,"Life expectancy at birth, total (years)",79.94478049,80.12204878,80.29104878,
Czech Republic,CZE,"Life expectancy at birth, total (years)",78.17560976,78.82439024,79.47317073,
Germany,DEU,"Life expectancy at birth, total (years)",80.4902439,81.0902439,81.0902439,
Djibouti,DJI,"Life expectancy at birth, total (years)",61.67736585,61.99431707,62.24982927,
Denmark,DNK,"Life expectancy at birth, total (years)",80.3,80.7,81.1,
Dominican Republic,DOM,"Life expectancy at birth, total (years)",73.3272439,73.51619512,73.70368293,
Algeria,DZA,"Life expectancy at birth, total (years)",75.41217073,75.63502439,75.85529268,
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",74.02096864,74.18315026,74.34183078,
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",68.96753962,69.25956118,69.52779013,
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",74.93611876,75.10255302,75.25604166,
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",72.09297156,72.29512938,72.46689195,
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",76.89108021,77.20707533,77.3948729,
Ecuador,ECU,"Life expectancy at birth, total (years)",75.64339024,75.85973171,76.0815122,
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",70.9202439,71.10956098,71.29565854,
Euro area,EMU,"Life expectancy at birth, total (years)",81.51281991,81.9348744,82.07022116,
Eritrea,ERI,"Life expectancy at birth, total (years)",63.69490244,64.16339024,64.62439024,
Spain,ESP,"Life expectancy at birth, total (years)",83.07804878,83.22926829,83.3804878,
Estonia,EST,"Life expectancy at birth, total (years)",77.14146341,77.03414634,77.13170732,
Ethiopia,ETH,"Life expectancy at birth, total (years)",63.92417073,64.50690244,65.00829268,
European Union,EUU,"Life expectancy at birth, total (years)",80.53255827,80.92222407,81.1263925,
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",61.35995106,61.71015899,62.04935535,
Finland,FIN,"Life expectancy at birth, total (years)",80.97560976,81.1804878,81.38536585,
Fiji,FJI,"Life expectancy at birth, total (years)",69.91143902,70.07112195,70.22426829,
France,FRA,"Life expectancy at birth, total (years)",82.2195122,82.67073171,82.67073171,
Faroe Islands,FRO,"Life expectancy at birth, total (years)",81.44146341,81.48536585,81.63414634,
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",68.83085366,68.93490244,69.04663415,
Gabon,GAB,"Life expectancy at birth, total (years)",64.67087805,65.20302439,65.68441463,
United Kingdom,GBR,"Life expectancy at birth, total (years)",81.00487805,81.30487805,81.60487805,
Georgia,GEO,"Life expectancy at birth, total (years)",72.69846341,72.82063415,72.96612195,
Ghana,GHA,"Life expectancy at birth, total (years)",61.82031707,62.11378049,62.4072439,
Guinea,GIN,"Life expectancy at birth, total (years)",58.27960976,58.82490244,59.39895122,
"Gambia, The",GMB,"Life expectancy at birth, total (years)",60.46217073,60.71385366,60.95743902,
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",56.14965854,56.54821951,56.95039024,
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",56.978,57.25553659,57.50839024,
Greece,GRC,"Life expectancy at birth, total (years)",81.28536585,81.43658537,81.58780488,
Grenada,GRD,"Life expectancy at birth, total (years)",73.18909756,73.35334146,73.49953659,
Greenland,GRL,"Life expectancy at birth, total (years)",71.8304878,,,
Guatemala,GTM,"Life expectancy at birth, total (years)",72.45402439,72.76202439,73.04297561,
Guam,GUM,"Life expectancy at birth, total (years)",78.95363415,79.17373171,79.37763415,
Guyana,GUY,"Life expectancy at birth, total (years)",66.31765854,66.42614634,66.53936585,
High income,HIC,"Life expectancy at birth, total (years)",80.3808347,80.61483831,80.74130969,
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",83.83170732,83.9804878,84.27804878,
Honduras,HND,"Life expectancy at birth, total (years)",72.93970732,73.12990244,73.32460976,
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",60.67593748,61.16724084,61.6223619,
Croatia,HRV,"Life expectancy at birth, total (years)",77.12682927,77.47804878,77.27560976,
