Country.Name,Current smoking ,Daily smoking 
Afghanistan,Not available,Not available
Albania,29.7,23.8
Algeria,Not available,Not available
Andorra,33.1,27.9
Angola,Not available,Not available
Antigua and Barbuda,Not available,Not available
Argentina,25.3,18.1
Armenia,28,24.7
Australia,16,13.7
Austria,Not available,Not available
Azerbaijan,23.5,18.6
Bahamas,Not available,Not available
Bahrain,30.3,27.1
Bangladesh,21.8,19.6
Barbados,7,5
Belarus,27.9,22.6
Belgium,23.9,19.7
Belize,Not available,Not available
Benin,8.8,7.4
Bhutan,Not available,Not available
Bolivia (Plurinational State of),Not available,Not available
Bosnia and Herzegovina,39.2,32.1
Botswana,Not available,Not available
Brazil,16.1,12.7
Brunei Darussalam,16.4,12.9
Bulgaria,36.8,30
Burkina Faso,19.1,16.2
Burundi,Not available,Not available
Côte d'Ivoire,Not available,Not available
Cabo Verde,12.2,9.7
Cambodia,23,19.8
Cameroon,18.8,13.6
Canada,16.2,11.9
Central African Republic,Not available,Not available
Chad,Not available,Not available
Chile,38.9,27.5
China,25.9,22.4
Colombia,11.6,8.1
Comoros,15.3,12.5
Congo,18.5,13
Cook Islands,Not available,Not available
Costa Rica,14.2,8.3
Croatia,36,31.1
Cuba,36.1,23.4
Cyprus,Not available,Not available
Czechia,33.4,24.7
Democratic People's Republic of Korea,Not available,Not available
Democratic Republic of the Congo,Not available,Not available
Denmark,18.9,15.6
Djibouti,Not available,Not available
Dominica,Not available,Not available
Dominican Republic,14.5,11.3
Ecuador,9,4.5
Egypt,23.8,20.3
El Salvador,Not available,Not available
Equatorial Guinea,Not available,Not available
Eritrea,Not available,Not available
Estonia,33.2,26.1
Ethiopia,4.7,3.3
Fiji,26.5,18.1
Finland,21.8,16.8
France,28.1,23.5
Gabon,Not available,Not available
Gambia,Not available,Not available
Georgia,30,24
Germany,30.7,24.2
Ghana,6.3,4.9
Greece,43.4,35.2
Grenada,Not available,Not available
Guatemala,Not available,Not available
Guinea,Not available,Not available
Guinea-Bissau,Not available,Not available
Guyana,Not available,Not available
Haiti,11.8,8.6
Honduras,18.9,11.1
Hungary,29.6,25.1
Iceland,17.5,13.1
India,12.4,10.7
Indonesia,38.5,33.1
Iran (Islamic Republic of),11.7,10.4
Iraq,Not available,Not available
Ireland,23.2,19.2
Israel,30.4,23.3
Italy,24.2,22
Jamaica,17.6,13
Japan,22.8,18.1
Jordan,38.4,31
Kazakhstan,26.3,17.4
Kenya,13.6,9.8
Kiribati,54,45.6
Kuwait,Not available,Not available
Kyrgyzstan,26.4,20.9
Lao People's Democratic Republic,34,29
Latvia,35.9,30
Lebanon,37,28.7
Lesotho,25.4,19.9
Liberia,14.2,11.2
Libya,Not available,Not available
Lithuania,30.1,23.6
Luxembourg,24.4,18.8
Madagascar,Not available,Not available
Malawi,16.3,11.9
Malaysia,22.3,18.2
Maldives,Not available,Not available
Mali,18.6,14.9
Malta,25.9,20.7
Marshall Islands,Not available,Not available
Mauritania,22.3,19
Mauritius,21.9,16
Mexico,14.5,8.3
Micronesia (Federated States of),Not available,Not available
Monaco,Not available,Not available
Mongolia,26.8,22.7
Montenegro,Not available,Not available
Morocco,22,17.9
Mozambique,18.8,13.4
Myanmar,20,15.8
Namibia,23.8,18.9
Nauru,48.9,39.8
Nepal,24.6,18.1
Netherlands,25.7,19.6
New Zealand,17.6,15.5
Nicaragua,Not available,Not available
Niger,8.4,6
Nigeria,8.9,7
Niue,16.6,11.7
Norway,24.1,17.2
Oman,13.5,10.9
Pakistan,22.6,18.6
Palau,Not available,Not available
Panama,7.4,3.9
Papua New Guinea,Not available,Not available
Paraguay,19.5,11.9
Peru,Not available,Not available
Philippines,26.7,20.6
Poland,29.4,23.2
Portugal,22.6,17.7
Qatar,Not available,Not available
Republic of Korea,27.4,25.7
Republic of Moldova,23.8,20.1
Romania,30.5,25.7
Russian Federation,39.5,33.4
Rwanda,Not available,Not available
Saint Kitts and Nevis,Not available,Not available
Saint Lucia,Not available,Not available
Saint Vincent and the Grenadines,Not available,Not available
Samoa,32,24.4
San Marino,Not available,Not available
Sao Tome and Principe,Not available,Not available
Saudi Arabia,17.1,14.5
Senegal,11.1,9.5
Serbia,42.1,33.5
Seychelles,26.7,20.7
Sierra Leone,34.4,25.7
Singapore,16.2,13.2
Slovakia,28.8,22
Slovenia,20.9,17.7
Solomon Islands,Not available,Not available
Somalia,Not available,Not available
South Africa,18.9,16.1
South Sudan,Not available,Not available
Spain,30.3,25.7
Sri Lanka,14.1,10.9
Sudan,Not available,Not available
Suriname,Not available,Not available
Swaziland,10.2,7.1
Sweden,21.9,11.8
Switzerland,24.1,19.5
Syrian Arab Republic,Not available,Not available
Tajikistan,Not available,Not available
Thailand,21.5,18.2
The former Yugoslav republic of Macedonia,Not available,Not available
Timor-Leste,Not available,Not available
Togo,Not available,Not available
Tonga,30.2,25.8
Trinidad and Tobago,Not available,Not available
Tunisia,Not available,Not available
Turkey,27,22.4
Turkmenistan,Not available,Not available
Tuvalu,Not available,Not available
Uganda,10.3,6.6
Ukraine,30.7,25.4
United Arab Emirates,Not available,Not available
United Kingdom of Great Britain and Northern Ireland,20.3,20.3
United Republic of Tanzania,16.3,11.9
United States of America,18.1,14.3
Uruguay,24.8,18.9
Uzbekistan,13.3,10.4
Vanuatu,Not available,Not available
Venezuela (Bolivarian Republic of),Not available,Not available
Viet Nam,23.7,19.2
Yemen,Not available,Not available
Zambia,15.9,10.5
Zimbabwe,Not available,Not available
