"Country.Name","Country.Code","GDP"
"Afghanistan","AFG",561.7787463
"Angola","AGO",3110.808183
"Albania","ALB",4146.89625
"Andorra","AND",40215.43532
"Arab World","ARB",6153.069547
"United Arab Emirates","ARE",37622.20746
"Argentina","ARG",12449.21685
"Armenia","ARM",3606.152057
"American Samoa","ASM",11541.85498
"Antigua and Barbuda","ATG",14353.37881
"Australia","AUS",49927.81951
"Austria","AUT",44176.51522
"Azerbaijan","AZE",3876.936433
"Burundi","BDI",285.7274421
"Belgium","BEL",41096.1573
"Benin","BEN",789.4404107
"Burkina Faso","BFA",649.7304837
"Bangladesh","BGD",1358.779752
"Bulgaria","BGR",7350.795801
"Bahrain","BHR",22354.16707
"Bahamas, The","BHS",23124.38655
"Bosnia and Herzegovina","BIH",4708.718261
"Belarus","BLR",4989.254611
"Belize","BLZ",4810.565902
"Bermuda","BMU",85748.06541
"Bolivia","BOL",3104.956089
"Brazil","BRA",8649.948492
"Barbados","BRB",16096.89259
"Brunei Darussalam","BRN",26938.50338
"Bhutan","BTN",2804.000223
"Botswana","BWA",6788.042745
"Central African Republic","CAF",382.2131743
"Canada","CAN",42157.92799
"Central Europe and the Baltics","CEB",12657.3868
"Switzerland","CHE",78812.65069
"Chile","CHL",13792.92605
"China","CHN",8123.180873
"Cote d'Ivoire","CIV",1526.197175
"Cameroon","CMR",1032.648722
"Congo, Dem. Rep.","COD",444.5053168
"Congo, Rep.","COG",1528.24483
"Colombia","COL",5805.605335
"Comoros","COM",775.0800847
"Cabo Verde","CPV",2997.75268
"Costa Rica","CRI",11824.6381
"Caribbean small states","CSS",8769.641649
"Cuba","CUB",7602.261218
"Cyprus","CYP",23324.20174
"Czech Republic","CZE",18266.54969
"Germany","DEU",41936.05858
"Djibouti","DJI",1862.167274
"Dominica","DMA",7144.454673
"Denmark","DNK",53417.66428
"Dominican Republic","DOM",6722.223536
"Algeria","DZA",3843.752322
"East Asia & Pacific (excluding high income)","EAP",6586.077744
"Early-demographic dividend","EAR",3240.724515
"East Asia & Pacific","EAS",9786.468143
"Europe & Central Asia (excluding high income)","ECA",7136.901298
"Europe & Central Asia","ECS",22108.51128
"Ecuador","ECU",5968.984138
"Egypt, Arab Rep.","EGY",3514.490097
"Euro area","EMU",34866.09607
"Spain","ESP",26528.49179
"Estonia","EST",17574.68736
"Ethiopia","ETH",706.7577541
"European Union","EUU",32058.77358
"Fragile and conflict affected situations","FCS",1471.014651
"Finland","FIN",43090.24751
"Fiji","FJI",5153.351544
"France","FRA",36854.96828
"Faroe Islands","FRO",53612.71345
"Micronesia, Fed. Sts.","FSM",3068.507771
"Gabon","GAB",7179.340661
"United Kingdom","GBR",39899.38839
"Georgia","GEO",3853.649904
"Ghana","GHA",1513.461034
"Guinea","GIN",508.1450784
"Gambia, The","GMB",473.1904363
"Guinea-Bissau","GNB",620.2147647
"Equatorial Guinea","GNQ",8333.238263
"Greece","GRC",18103.96932
"Grenada","GRD",9469.219181
"Greenland","GRL",39569.10579
"Guatemala","GTM",4146.744129
"Guam","GUM",35439.47045
"Guyana","GUY",4456.553697
"High income","HIC",40677.68352
"Hong Kong SAR, China","HKG",43681.14058
"Honduras","HND",2361.15762
"Heavily indebted poor countries (HIPC)","HPC",861.5101555
"Croatia","HRV",12090.66656
"Haiti","HTI",739.5954363
"Hungary","HUN",12664.84744
"IBRD only","IBD",5498.824674
"IDA & IBRD total","IBT",4435.508344
"IDA total","IDA",1268.101681
"IDA blend","IDB",1754.204613
"Indonesia","IDN",3570.294888
"IDA only","IDX",1023.47332
"Isle of Man","IMN",89941.64429
"India","IND",1709.387921
"Ireland","IRL",61606.48294
