"","Country.Name","Country.Code","X2016"
"2","Afghanistan","AFG","23"
"4","Albania","ALB","57.7"
"59","Algeria","DZA","62"
"5","Andorra","AND","63.7"
"3","Angola","AGO","27.5"
"11","Antigua and Barbuda","ATG","48"
"8","Argentina","ARG","62.7"
"9","Armenia","ARM","54.4"
"12","Australia","AUS","64.5"
"13","Austria","AUT","54.3"
"14","Azerbaijan","AZE","53.6"
"21","Bahrain","BHR","65.8"
"19","Bangladesh","BGD","20"
"29","Barbados","BRB","52.4"
"24","Belarus","BLR","59.4"
"16","Belgium","BEL","59.5"
"25","Belize","BLZ","54.8"
"17","Benin","BEN","29.5"
"31","Bhutan","BTN","27.1"
"27","Bolivia","BOL","56.1"
"23","Bosnia and Herzegovina","BIH","53.3"
"32","Botswana","BWA","43.4"
"28","Brazil","BRA","56.5"
"30","Brunei Darussalam","BRN","41.2"
"20","Bulgaria","BGR","61.7"
"18","Burkina Faso","BFA","23.2"
"15","Burundi","BDI","22.2"
"46","Cabo Verde","CPV","34.8"
"122","Cambodia","KHM","21.7"
"41","Cameroon","CMR","33.6"
"34","Canada","CAN","64.1"
"33","Central African Republic","CAF","26.2"
"228","Chad","TCD","23.1"
"38","Chile","CHL","63.1"
"39","China","CHN","32.3"
"44","Colombia","COL","59"
"45","Comoros","COM","27.1"
"42","Congo, Dem. Rep.","COD","30.9"
"47","Costa Rica","CRI","61.6"
"40","Cote d'Ivoire","CIV","31.6"
"98","Croatia","HRV","59.6"
"49","Cuba","CUB","58.5"
"52","Cyprus","CYP","59.1"
"53","Czech Republic","CZE","62.3"
"57","Denmark","DNK","55.4"
"55","Djibouti","DJI","38.6"
"56","Dominica","DMA","60.3"
"58","Dominican Republic","DOM","61.2"
"65","Ecuador","ECU","56"
"210","El Salvador","SLV","59.9"
"87","Equatorial Guinea","GNQ","26.7"
"68","Eritrea","ERI","22"
"70","Estonia","EST","55.8"
"71","Ethiopia","ETH","20.9"
"75","Fiji","FJI","63.8"
"74","Finland","FIN","57.9"
"76","France","FRA","59.5"
"79","Gabon","GAB","40.2"
"81","Georgia","GEO","54.2"
"54","Germany","DEU","56.8"
"82","Ghana","GHA","32"
"88","Greece","GRC","62.3"
"89","Grenada","GRD","51.4"
"91","Guatemala","GTM","55.9"
"84","Guinea","GIN","26.6"
"86","Guinea-Bissau","GNB","29.9"
"93","Guyana","GUY","49.4"
"99","Haiti","HTI","54.9"
"96","Honduras","HND","55.8"
"100","Hungary","HUN","61.6"
"113","Iceland","ISL","59.1"
"108","India","IND","19.7"
"105","Indonesia","IDN","28.2"
"111","Iran, Islamic Rep.","IRN","61.6"
"112","Iraq","IRQ","64.6"
"110","Ireland","IRL","60.6"
"114","Israel","ISR","64.3"
"115","Italy","ITA","58.5"
"116","Jamaica","JAM","55.5"
"118","Japan","JPN","27.2"
"117","Jordan","JOR","69.6"
"119","Kazakhstan","KAZ","53.6"
"120","Kenya","KEN","25.5"
"123","Kiribati","KIR","78.7"
"125","Korea, Rep.","KOR","30.3"
"126","Kuwait","KWT","73.4"
"128","Lao PDR","LAO","25.4"
"144","Latvia","LVA","57.8"
"129","Lebanon","LBN","67.9"
"140","Lesotho","LSO","38.7"
"130","Liberia","LBR","30.9"
"131","Libya","LBY","66.8"
"142","Lithuania","LTU","59.6"
"143","Luxembourg","LUX","58.7"
"156","Macedonia, FYR","MKD","58.1"
"150","Madagascar","MDG","23.9"
"167","Malawi","MWI","23.4"
"168","Malaysia","MYS","42.5"
"151","Maldives","MDV","30.6"
"157","Mali","MLI","28.1"
