Country Name,Country Code,2014,2015,2016
Aruba,ABW,97.7,97.7,
Afghanistan,AFG,31.8,31.9,
Angola,AGO,51.1,51.6,
Albania,ALB,93.2,93.2,
Andorra,AND,100,100,
Arab World,ARB,83.14532478,90.3704944,
United Arab Emirates,ARE,97.5,97.6,
Argentina,ARG,96.1,96.4,
Armenia,ARM,89.5,89.5,
American Samoa,ASM,62.5,62.5,
Antigua and Barbuda,ATG,,,
Australia,AUS,100,100,
Austria,AUT,100,100,
Azerbaijan,AZE,87.9,89.3,
Burundi,BDI,48,48,
Belgium,BEL,99.5,99.5,
Benin,BEN,19.6,19.7,
Burkina Faso,BFA,19.4,19.7,
Bangladesh,BGD,59.6,60.6,
Bulgaria,BGR,86,86,
Bahrain,BHR,99.2,99.2,
"Bahamas, The",BHS,92,92,
Bosnia and Herzegovina,BIH,94.8,94.8,
Belarus,BLR,94.3,94.3,
Belize,BLZ,90.5,90.5,
Bermuda,BMU,,,
Bolivia,BOL,50.2,50.3,
Brazil,BRA,82.7,82.8,
Barbados,BRB,96.2,96.2,
Brunei Darussalam,BRN,,,
Bhutan,BTN,50.1,50.4,
Botswana,BWA,63.3,63.4,
Central African Republic,CAF,21.7,21.8,
Canada,CAN,99.8,99.8,
Central Europe and the Baltics,CEB,92.96811623,93.01710798,
Switzerland,CHE,99.9,99.9,
Channel Islands,CHI,,,
Chile,CHL,99,99.1,
China,CHN,75.4,76.5,
Cote d'Ivoire,CIV,22.3,22.5,
Cameroon,CMR,45.6,45.8,
"Congo, Dem. Rep.",COD,28.3,28.7,
"Congo, Rep.",COG,14.9,15,
Colombia,COL,81.1,81.1,
Comoros,COM,35.8,35.8,
Cabo Verde,CPV,72,72.2,
Costa Rica,CRI,94.5,94.5,
Caribbean small states,CSS,85.81067044,85.82602619,
Cuba,CUB,93.2,93.2,
Curacao,CUW,,,
Cayman Islands,CYM,95.5,95.6,
Cyprus,CYP,100,100,
Czech Republic,CZE,99.1,99.1,
Germany,DEU,99.2,99.2,
Djibouti,DJI,47.4,47.4,
Dominica,DMA,,,
Denmark,DNK,99.6,99.6,
Dominican Republic,DOM,83.6,84,
Algeria,DZA,87.4,87.6,
East Asia & Pacific (excluding high income),EAP,74.00567888,74.88526781,
Early-demographic dividend,EAR,57.19334869,57.55975819,
East Asia & Pacific,EAS,76.42601128,77.21394434,
Europe & Central Asia (excluding high income),ECA,85.98021073,86.13442165,
Europe & Central Asia,ECS,93.01784645,93.08371465,
Ecuador,ECU,84.7,84.7,
"Egypt, Arab Rep.",EGY,94.7,94.7,
Euro area,EMU,98.92623801,98.9317313,
Eritrea,ERI,15.6,15.7,
Spain,ESP,99.9,99.9,
Estonia,EST,97.2,97.2,
Ethiopia,ETH,26.8,28,
European Union,EUU,97.85247241,97.86793743,
Fragile and conflict affected situations,FCS,41.6497724,43.27625402,
Finland,FIN,97.6,97.6,
Fiji,FJI,91.1,91.1,
France,FRA,98.7,98.7,
Faroe Islands,FRO,,,
"Micronesia, Fed. Sts.",FSM,57.1,57.1,
Gabon,GAB,41.8,41.9,
United Kingdom,GBR,99.2,99.2,
Georgia,GEO,86.9,86.3,
Ghana,GHA,14.8,14.9,
Gibraltar,GIB,,,
Guinea,GIN,20,20.1,
"Gambia, The",GMB,58.8,58.9,
Guinea-Bissau,GNB,20.7,20.8,
Equatorial Guinea,GNQ,74.5,74.5,
Greece,GRC,99,99,
Grenada,GRD,98,98,
Greenland,GRL,100,100,
Guatemala,GTM,63.7,63.9,
Guam,GUM,89.8,89.8,
Guyana,GUY,83.6,83.7,
High income,HIC,99.40992631,99.41483382,
"Hong Kong SAR, China",HKG,,,
Honduras,HND,82.6,82.6,
Heavily indebted poor countries (HIPC),HPC,26.82480029,27.37943101,
Croatia,HRV,97.1,97,
Haiti,HTI,27.4,27.6,
Hungary,HUN,98,98,
IBRD only,IBD,67.5459731,67.98119666,
IDA & IBRD total,IBT,61.12131059,61.71785533,
IDA total,IDA,40.91382646,41.75391115,
IDA blend,IDB,47.14816366,47.61714249,
Indonesia,IDN,60.6,60.8,
IDA only,IDX,37.70138773,38.60668702,
Isle of Man,IMN,,,
India,IND,39.5,39.6,
Not classified,INX,,,
Ireland,IRL,90.5,90.5,
"Iran, Islamic Rep.",IRN,89.9,90,
Iraq,IRQ,85.6,85.6,
Iceland,ISL,98.8,98.8,
Israel,ISR,100,100,
Italy,ITA,99.5,99.5,
Jamaica,JAM,81.8,81.8,
Jordan,JOR,98.6,98.6,
Japan,JPN,100,100,
Kazakhstan,KAZ,97.5,97.5,
Kenya,KEN,30.1,30.1,
Kyrgyz Republic,KGZ,93.2,93.3,
